orgao_julgador,turma,numero,classe_sigla,classe,relator,tribunal,data_julgamento,data_juntada,id_documento,possui_ementa,ementa,referencia_legislativa,url,classe_curta,area,materias,subtema,subtemas,incidentes,precisa_llm
Primeira Turma,1ª Turma,0001502-20.2025.5.19.0009,RORSum,Recurso Ordinário - Rito Sumaríssimo,VANDA MARIA FERREIRA LUSTOSA,TRT19,02/06/2026,22/06/2026,9020214,N,"Dispensada, na forma dos arts. 895, §1º, IV, da CLT, e 108, parágrafo único, do Regimento Interno do TRT da 19ª Região (RITO SUMARÍSSIMO). II. Relatório Dispensado, nos termos do inciso IV, do §1º, do art. 895, da CLT, e art. 107, § 3º, do Regimento Interno do TRT da 19ª Região. III. Fundamentação Presentes os pressupostos processuais de admissibilidade, conheço dos Recursos Ordinários interpostos, bem como das respectivas contrarrazões. A. Mérito 1. Recurso Ordinário da Reclamada a) Da Rescisão Indireta e da Indenização por Danos Morais A reclamada se insurge contra a sentença que reconheceu a rescisão indireta do contrato de trabalho e a condenou ao pagamento de indenização por danos morais. Sustenta, em síntese, a fragilidade e a contradição da prova oral, argumentando que os fatos não configuram assédio moral e que a decisão se baseou em suposta ""fama"" da empresa, e não nas provas dos autos. Sem razão. O juízo de primeiro grau formou seu convencimento a partir da análise criteriosa do conjunto probatório, em especial da prova oral, que confirmou a tese da inicial. A testemunha Maíla Suellen de Morais Fernandes, ouvida em audiência (ID 05191a8), corroborou os fatos essenciais que fundamentam o assédio moral. A testemunha foi categórica ao afirmar que presenciou o reclamante sendo vítima de chacotas, piadas e calúnias relacionadas ao término de seu relacionamento, e que foi criada uma página em rede social para expor e ridicularizar o trabalhador (ID d014a5e). Mais grave, a testemunha confirmou o ponto central que atrai a responsabilidade da empregadora: ""embora Mikael tenha aberto reclamação sobre a situação vivida, os coordenadores e supervisores não tomaram nenhuma providência, permanecendo o ambiente de trabalho da mesma forma""(ID d014a5e). A omissão deliberada da empresa, após ser notificada pelo empregado a respeito do assédio moral horizontal praticado por colegas, constitui falta grave. É dever do empregador zelar por um meio ambiente de trabalho hígido, seguro e respeitoso, o que inclui a proteção da integridade psíquica de seus empregados (art. 157 da CLT e art. 7º, XXII, da Constituição Federal). Ao se manter inerte diante das denúncias, a reclamada anuiu com a conduta ilícita, tornando-se corresponsável pelo dano e descumprindo obrigações essenciais do contrato de trabalho (art. 483, ""d"", da CLT). A alegação da recorrente de que a testemunha contradisse a inicial ao negar a transferência de setor do reclamante não invalida o conjunto da prova. A transferência era apenas um dos vários atos de perseguição narrados. A comprovação da omissão patronal frente às chacotas e difamações, por si só, já é suficiente para caracterizar a falta grave, por violação da honra e boa fama do empregado (art. 483, ""e"", da CLT), tornando insustentável a continuidade da relação de emprego. Igualmente, a alegação de que o reclamante admitiu usar o sistema para pausas de banheiro não afasta o controle abusivo. A testemunha confirmou a existência de um ambi",art_157_clt|iv_prgf_1_art_895_clt|prgf_8_art_477_clt|trt19|d_art_483_clt|prgf_2_art_791_clt|prgf_3_art_107_ri_trt19|art_483_clt|prgf_3_art_107_clt|art_7_clt|ri_trt19,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001502-20.2025.5.19.0009?abaSelecionada=acordaos,RO Sumaríssimo,Vínculo de emprego,Vínculo de emprego|Justa causa / modalidade de rescisão|Dano moral / existencial|Verbas rescisórias,,Verbas rescisórias::Outros,Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000509-92.2025.5.19.0003,ROT,Recurso Ordinário Trabalhista,VANDA MARIA FERREIRA LUSTOSA,TRT19,09/06/2026,17/06/2026,8805635,N,"Ementa . DIREITO PROCESSUAL DO TRABALHO. DIREITO DO TRABALHO. RECURSO ORDINÁRIO. CERCEAMENTO DE DEFESA. NULIDADE PROCESSUAL. RECURSO PROVIDO. I. CASO EM EXAME 1. Trata-se de recurso ordinário interposto pela parte reclamante contra a sentença que julgou improcedente o pedido de reconhecimento de doença ocupacional e consequente responsabilização civil da empregadora. A recorrente alega, preliminarmente, nulidade processual por cerceamento de defesa, em razão da ausência de inspeção no local de trabalho pelo perito. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em saber se a ausência de inspeção pericial no local de trabalho, quando alegada doença ocupacional decorrente da exposição a agentes químicos, configura cerceamento de defesa e impõe a nulidade do processo. III.",trt19|art_479_cpc|prgf_1_art_896_clt|art_479_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000509-92.2025.5.19.0003?abaSelecionada=acordaos,Recurso Ordinário,Doença ocupacional / acidente de trabalho,Doença ocupacional / acidente de trabalho|Adicionais (insalubridade / periculosidade / noturno),,Adicionais (insalubridade / periculosidade / noturno)::Outros,Cerceamento de defesa / prova|Nulidade / negativa de prestação jurisdicional|Tutela de urgência / liminar,
Primeira Turma,1ª Turma,0000489-07.2025.5.19.0002,AP,Agravo de Petição,VANDA MARIA FERREIRA LUSTOSA,TRT19,09/06/2026,17/06/2026,9132111,N,"Ementa : DIREITO DO TRABALHO. AGRAVO DE PETIÇÃO. PARCELA ""QUEBRA DE CAIXA"". EFETIVO EXERCÍCIO DA FUNÇÃO DE CAIXA. NÃO PROVIMENTO. I. CASO EM EXAME 1. Agravo de Petição interposto pelo Sindicato, na qualidade de substituto processual, contra decisão que excluiu períodos da apuração da parcela ""Quebra de Caixa"" em cumprimento de sentença. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em definir se a exclusão de períodos da apuração da parcela ""Quebra de Caixa"", nos quais a empregada não exercia efetivamente a função de caixa, violou a coisa julgada. III.",prgf_1_art_879_clt|trt19|prgf_1_art_879_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000489-07.2025.5.19.0002?abaSelecionada=acordaos,Agravo de Petição,Execução trabalhista,Execução trabalhista,,,,
Primeira Turma,1ª Turma,0001657-23.2025.5.19.0009,ROT,Recurso Ordinário Trabalhista,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9199038,N,"Ementa. RECURSO ORDINÁRIO. HOMOLOGAÇÃO DE ACORDO EXTRAJUDICIAL. JURISDIÇÃO VOLUNTÁRIA. FACULDADE DO MAGISTRADO. DIREITO IRRENUNCIÁVEL. ANOTAÇÃO DE CTPS. QUITAÇÃO GERAL DO CONTRATO. IMPOSSIBILIDADE. RECURSO NÃO PROVIDO. I. CASO EM EXAME 1. Recurso ordinário interposto por espólio contra sentença que indeferiu a homologação de acordo extrajudicial e extinguiu o processo sem resolução de mérito. O acordo visava a quitação geral do contrato de trabalho de empregada doméstica, mediante indenização, sem o registro do vínculo empregatício em Carteira de Trabalho e Previdência Social (CTPS) e sem recolhimentos fundiários regulares, restando constatado em audiência o interesse da trabalhadora na anotação do vínculo. II. QUESTÃO EM DISCUSSÃO 2. A questão em discussão consiste em determinar se: (i) a homologação de acordo extrajudicial constitui direito subjetivo das partes ou faculdade do magistrado; (ii) a quitação geral de contrato de trabalho doméstico é válida quando ausente o registro do vínculo e contrária ao interesse manifestado pelo empregado em juízo. III.",art_320_ccb|lc_150_15|i_art_485_cpc|b_art_855_clt|art_9_lc_150_15|sumula_418_trt19|sumula_418_tst|trt19|prgf_unico_art_855_clt|prgf_2_art_477_clt|art_9_cpc,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001657-23.2025.5.19.0009?abaSelecionada=acordaos,Recurso Ordinário,Vínculo de emprego,Vínculo de emprego|Verbas rescisórias,,Verbas rescisórias::Outros,,
Primeira Turma,1ª Turma,0001568-06.2025.5.19.0007,RORSum,Recurso Ordinário - Rito Sumaríssimo,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9196065,N,"Ementa. DIREITO DO TRABALHO. RECURSO ORDINÁRIO. HORAS EXTRAS. ÔNUS DA PROVA. AUSÊNCIA DE CONTROLE DE JORNADA. DANO MORAL. DESVIO DE FUNÇÃO. LIMPEZA DE BANHEIROS. ASSÉDIO. HONRA E DIGNIDADE DO TRABALHADOR. HONORÁRIOS ADVOCATÍCIOS. SUCUMBÊNCIA. PERCENTUAL. REDUÇÃO. RECURSO PARCIALMENTE PROVIDO. I. CASO EM EXAME 1. Recurso Ordinário interposto contra sentença que condenou a reclamada ao pagamento de horas extras, indenização por danos morais e honorários advocatícios. O recorrente busca a reforma do julgado para excluir a condenação em horas extras, sob alegação de compensação fática; afastar a indenização por danos morais, sustentando tratar-se de mero inadimplemento contratual; e reduzir o percentual dos honorários advocatícios sucumbenciais de 15% para 5%. II. QUESTÃO EM DISCUSSÃO 2. Há três questões em discussão: (i) definir se a ausência de cartões de ponto aliada à prova testemunhal justifica a condenação em horas extras e afasta a tese de compensação fática; (ii) estabelecer se a imposição de tarefas de limpeza de banheiros a empregado contratado como motorista configura dano moral passível de indenização; (iii) determinar se o percentual de 15% a título de honorários advocatícios mostra-se excessivo frente aos critérios de complexidade e razoabilidade previstos no art. 791-A da CLT. III.",prgf_8_art_85_cpc|i_sumula_338_tst|trt19|art_791_clt|prgf_2_art_791_clt|prgf_2_art_74_clt|i_sumula_85_tst|b_art_223_cf|x_art_5_cf,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001568-06.2025.5.19.0007?abaSelecionada=acordaos,RO Sumaríssimo,Equiparação / desvio e acúmulo de função,Equiparação / desvio e acúmulo de função|Horas extras / jornada|Dano moral / existencial,,Horas extras / jornada::Banco de horas / compensação,Honorários sucumbenciais,
Primeira Turma,1ª Turma,0001448-78.2025.5.19.0001,RORSum,Recurso Ordinário - Rito Sumaríssimo,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9198416,N,"Ementa. DIREITO DO TRABALHO E DIREITO PROCESSUAL DO TRABALHO. RECURSO ORDINÁRIO. RESCISÃO INDIRETA. HORAS EXTRAS. MULTA DO ART. 477, § 8º, DA CLT. HONORÁRIOS ADVOCATÍCIOS. RECURSO ORDINÁRIO DA RECLAMADA PARCIALMENTE PROVIDO. I. CASO EM EXAME 1. Trata-se de recurso ordinário interposto pela reclamada contra a sentença que reconheceu a rescisão indireta do contrato de trabalho, condenou ao pagamento de horas extras, multa do art. 477, § 8º, da CLT, e deferiu honorários advocatícios. A reclamante alegou, em síntese, assédio moral, irregularidade dos depósitos de FGTS e exigência de serviços diversos da função. A reclamada sustentou que a reclamante abandonou o emprego. A sentença acolheu a pretensão de rescisão indireta com base na irregularidade dos depósitos de FGTS. II. QUESTÕES EM DISCUSSÃO 2. As questões em discussão são: (i) a modalidade de extinção contratual, se rescisão indireta ou justa causa por abandono de emprego; (ii) a obrigatoriedade de exibição dos controles de ponto e o deferimento de horas extras; (iii) a incidência da multa do artigo 477, § 8º, da CLT; e (iv) os honorários advocatícios. III.",art_791_cf|sumula_32_tst|i_sumula_338_tst|b_art_483_clt|prgf_3_art_483_clt|art_791_clt|ii_art_818_clt|trt19|i_art_818_clt|sumula_461_tst|prgf_8_art_477_clt|d_art_483_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001448-78.2025.5.19.0001?abaSelecionada=acordaos,RO Sumaríssimo,Justa causa / modalidade de rescisão,Justa causa / modalidade de rescisão|Horas extras / jornada|Dano moral / existencial|Verbas rescisórias|FGTS,,Horas extras / jornada::Controle de jornada / ônus da prova|Verbas rescisórias::Multa do art. 477 (atraso na quitação),Honorários sucumbenciais,
Primeira Turma,1ª Turma,0001052-74.2025.5.19.0010,RORSum,Recurso Ordinário - Rito Sumaríssimo,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9204926,N,"Dispensada na forma dos arts. 895, §1º, IV, da CLT e 108, parágrafo único, do Regimento Interno do TRT da 19ª Região (Rito Sumaríssimo). II. Relatório Dispensado, nos termos dos arts. 895, §1º, IV, da CLT e 107, §3º, do Regimento Interno do TRT da 19ª Região. III. Fundamentação A. Admissibilidade 1. Da deserção do recurso da reclamada. Do pedido de reconsideração Antes de adentrar no exame dos requisitos intrínsecos e extrínsecos dos recursos ordinários interpostos, faz-se examina-se o pedido de reconsideração deduzido pela reclamada Veleiro Transportes e Turismo Ltda. contra a decisão monocrática que indeferiu os benefícios da justiça gratuita e assinalou o prazo legal para a realização do preparo recursal correspondente. O ordenamento processual civil brasileiro, aplicável de forma subsidiária e supletiva ao processo do trabalho por força dos artigos 769 da Consolidação das Leis do Trabalho e 15 do Código de Processo Civil, prevê que a gratuidade da justiça pode ser concedida tanto a pessoas naturais quanto a pessoas jurídicas. Contudo, para a concessão do benefício à pessoa jurídica, o tratamento conferido pela legislação e consolidado pela jurisprudência é substancialmente distinto e mais rigoroso daquele dispensado à pessoa física, cuja presunção de hipossuficiência econômica é meramente declaratória nos termos do art. 99, § 3º, do CPC. A concessão do benefício de assistência judiciária gratuita à pessoa jurídica exige a comprovação inequívoca e cabal de sua impossibilidade financeira de arcar com os custos processuais. No processo do trabalho, esse entendimento encontra-se cristalizado na Súmula nº 463, inciso II, do Tribunal Superior do Trabalho, que estabelece que, em se tratando de pessoa jurídica, não basta a mera declaração de pobreza, sendo indispensável a demonstração inequívoca e documental da incapacidade de arcar com as despesas processuais, sob pena de indeferimento do pleito de gratuidade de justiça e consequente deserção do recurso. Nesse sentido, colhe-se o entendimento consolidado da referida corte de cúpula trabalhista: ""SÚMULA TST nº 463: ASSISTÊNCIA JUDICIÁRIA GRATUITA. COMPROVAÇÃO. - I - A partir de 26.06.2017, para a concessão da assistência judiciária gratuita à pessoa natural, basta a declaração de hipossuficiência econômica firmada pela parte ou por seu advogado, desde que munido de procuração com poderes específicos para esse fim (art. 105 do CPC de 2015); II - No caso de pessoa jurídica, não basta a mera declaração: é necessária a demonstração cabal de impossibilidade de a parte arcar com as despesas do processo."" O Superior Tribunal de Justiça, de igual modo, pacificou a questão por meio de seu verbete sumular de número 481, ao dispor que faz jus ao benefício da gratuidade judiciária a pessoa jurídica, com ou sem fins lucrativos, que comprovar de forma robusta e documental a impossibilidade de arcar com os encargos do processo. No caso concreto, em que pese a reclamada Veleiro Transportes e Turismo Ltda. sustentar",sumula_326_stj|art_467_clt|prgf_1_art_789_clt|art_5_cf|caput_art_2_clt|prgf_7_art_99_cpc|art_836_clt|trt19|trt9|art_791_clt|prgf_2_art_791_clt|art_105_cpc|ii_sumula_463_tst|prgf_3_art_99_cpc|prgf_4_art_791_clt|sumula_463_tst|ri_trt19,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0001052-74.2025.5.19.0010?abaSelecionada=acordaos,RO Sumaríssimo,Verbas rescisórias,Verbas rescisórias,Multa do art. 467 (verbas incontroversas),Verbas rescisórias::Multa do art. 467 (verbas incontroversas),Gratuidade da justiça (pós-reforma)|Deserção / preparo / depósito recursal,
Primeira Turma,1ª Turma,0000830-33.2025.5.19.0002,ROT,Recurso Ordinário Trabalhista,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9197871,N,"Ementa. DIREITO DO TRABALHO. DIREITO PROCESSUAL DO TRABALHO. RECURSO ORDINÁRIO. NULIDADE PROCESSUAL. CERCEAMENTO DE DEFESA. INDEFERIMENTO DE PROVA. NULIDADE DA DISPENSA. DOENÇA OCUPACIONAL. DANOS MORAIS. HONORÁRIOS SUCUMBENCIAIS. RECURSO ORDINÁRIO PROVIDO EM PARTE. I. CASO EM EXAME 1. Trata-se de recurso ordinário interposto pelo reclamante contra sentença que julgou improcedentes os pedidos de declaração de nulidade da dispensa, reintegração, indenização por danos morais decorrentes de doença ocupacional/acidente de trabalho, e que não fixou honorários advocatícios sucumbenciais. O reclamante sustenta nulidade processual por cerceamento de defesa e omissão em relação ao pedido de perícia grafotécnica e declaração de falsidade de cartão de ponto; a nulidade da dispensa por ter ocorrido durante o gozo de atestado médico; a configuração de doença ocupacional e a consequente condenação ao pagamento de indenização por danos morais. II. QUESTÃO EM DISCUSSÃO 2. As questões em discussão consistem em: (i) se houve nulidade processual por cerceamento de defesa e omissão quanto ao indeferimento de perícia grafotécnica e incidente de falsidade; (ii) se a dispensa do reclamante, ocorrida em 02/02/2025, é nula por ter se dado durante o curso de atestado médico de 14 dias com vigência até 04/02/2025 e diante da ausência de impugnação específica pela reclamada quanto ao recebimento do atestado; (iii) se há nexo de causalidade ou concausalidade entre as patologias lombares do reclamante e o labor prestado na reclamada, a justificar a condenação em danos morais por doença ocupacional/acidente de trabalho; e (iv) a possibilidade de condenação da reclamada em honorários advocatícios sucumbenciais. III.",prgf_2_art_765_clt|i_art_371_cpc|i_art_818_clt|i_art_373_cpc|i_art_80_cpc|art_370_cpc|art_374_cpc|xxviii_art_7_cf|i_art_370_cpc|i_art_373_clt|art_479_cpc|art_791_clt|i_prgf_2_art_765_cf|art_133_cf|art_927_ccb|art_186_cf|i_art_341_cpc|art_186_ccb|art_371_cpc|sumula_371_tst|art_80_cpc|art_341_cpc|art_927_cf|i_prgf_2_art_791_cf|trt19|prgf_2_art_791_clt|art_373_cpc|art_187_ccb|art_496_clt,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000830-33.2025.5.19.0002?abaSelecionada=acordaos,Recurso Ordinário,Doença ocupacional / acidente de trabalho,Doença ocupacional / acidente de trabalho|Estabilidade / garantia de emprego|Dano moral / existencial,,Estabilidade / garantia de emprego::Acidentária,Honorários sucumbenciais|Cerceamento de defesa / prova|Nulidade / negativa de prestação jurisdicional|Embargos de declaração / omissão,
Primeira Turma,1ª Turma,0000777-55.2025.5.19.0001,RORSum,Recurso Ordinário - Rito Sumaríssimo,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9197163,N,"Ementa. DIREITO DO TRABALHO. RECURSO ORDINÁRIO. DOENÇA OCUPACIONAL. NEXO CONCAUSAL. LAUDO PERICIAL. FISIOTERAPEUTA. VALIDADE. DANO MORAL. INDENIZAÇÃO. MANUTENÇÃO. I. CASO EM EXAME 1. Recurso ordinário interposto por empresa contra sentença que, reconhecendo o nexo de concausalidade entre as patologias de ombro (tendinite e bursite) e o trabalho, condenou-a ao pagamento de indenização por danos morais no valor de R$ 30.000,00, além de honorários periciais e advocatícios, mantendo a obrigação de realocação funcional do trabalhador. A recorrente argui a nulidade do laudo pericial elaborado por fisioterapeuta, nega a existência de nexo causal e requer a redução do *quantum* indenizatório e dos honorários sucumbenciais. II. QUESTÃO EM DISCUSSÃO 2. Há três questões em discussão: (i) definir se o laudo pericial elaborado por fisioterapeuta é válido para a comprovação de nexo concausal em doença ocupacional; (ii) estabelecer se restou configurada a responsabilidade civil da empregadora (culpa e nexo de concausalidade); (iii) determinar se o valor arbitrado a título de danos morais é proporcional e razoável. III.",prgf_1_art_145_cpc|art_157_clt|prgf_1_art_791_clt|xxviii_art_7_cf|sumula_06_trt19|art_156_cpc|xxviii_art_7_ccb|art_157_cf|i_art_21_clt|trt19|trt9|prgf_1_art_156_cpc|art_927_ccb|sumula_443_tst|art_950_ccb|art_186_ccb|caput_art_944_ccb,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000777-55.2025.5.19.0001?abaSelecionada=acordaos,RO Sumaríssimo,Doença ocupacional / acidente de trabalho,Doença ocupacional / acidente de trabalho|Justa causa / modalidade de rescisão|Dano moral / existencial,,,Honorários sucumbenciais|Honorários periciais|Nulidade / negativa de prestação jurisdicional,
Primeira Turma,1ª Turma,0000575-86.2025.5.19.0063,ROT,Recurso Ordinário Trabalhista,VANDA MARIA FERREIRA LUSTOSA,TRT19,08/06/2026,17/06/2026,9197886,N,"Ementa: DIREITO DO TRABALHO. RESPONSABILIDADE CIVIL PRÉ-CONTRATUAL. PROCESSO SELETIVO. EXPECTATIVA LEGÍTIMA DE CONTRATAÇÃO. FRUSTRAÇÃO ABUSIVA. DANOS MORAIS E MATERIAIS. RECURSOS ORDINÁRIOS. DESPROVIMENTO. I. CASO EM EXAME 1. Recursos Ordinários interpostos por empresa (reclamada) e por candidata (reclamante) contra sentença que julgou parcialmente procedentes os pedidos de indenização por danos morais e materiais decorrentes da frustração de contratação após a aprovação em todas as etapas de processo seletivo, incluindo exame admissional. II. QUESTÃO EM DISCUSSÃO 2. Há duas questões em discussão: (i) definir se a dispensa de candidato aprovado em processo seletivo, após realização de exame médico admissional e treinamento, por motivo de inviabilidade técnica (internet) preexistente, configura ilícito civil na fase pré-contratual; (ii) estabelecer se os valores fixados a título de danos morais, materiais (perda de uma chance) e honorários sucumbenciais devem ser majorados ou mantidos. III.",art_422_ccb|trt19|art_791_clt|art_186_ccb|art_187_ccb,https://jurisprudencia.jt.jus.br/jurisprudencia-nacional/pesquisa/numero/0000575-86.2025.5.19.0063?abaSelecionada=acordaos,Recurso Ordinário,Dano moral / existencial,Dano moral / existencial,,,Honorários sucumbenciais,
